name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Incheon United vs Daejeon Citizen,2026-03-18 10:30:00,Daejeon Citizen won after full-time.,K League 1,Incheon United,Daejeon Citizen,1.0,3.0,10,7,7.0,2.0,1.0,3.0,10.0,8.0,113.0,136.0,40.0,30.0,49.0,51.0,,,8.0,5.0,2.0,3.0,1.0,2.0,4.0,2.0,5.0,8.0,7.0,16.0,2.0,4.0,3.0,3.0,2.81,3.19,2.76,2.05,1.81,,,1.87,2.02,,,2.55,3.2,2.55,1.83,1.83,,,1.82,1.97,,,0.36,0.31,0.36,0.55,0.49,,,0.53,0.5,,,0.39,0.31,0.39,0.55,0.55,,,0.55,0.51,,,2026
Bucheon 1995 vs Gangwon,2026-03-18 10:30:00,Game ended in draw.,K League 1,Bucheon 1995,Gangwon,,,6,12,2.0,3.0,3.0,7.0,9.0,10.0,96.0,98.0,36.0,43.0,42.0,58.0,,,5.0,2.0,4.0,8.0,1.0,3.0,10.0,2.0,5.0,8.0,13.0,16.0,2.0,5.0,1.0,3.0,5.0,3.63,1.78,1.75,2.14,1.77,2.08,2.01,1.87,,,5.0,3.25,1.72,1.72,2.0,2.0,1.8,1.97,1.82,,,0.2,0.28,0.56,0.47,0.57,0.56,0.48,0.5,0.53,,,0.2,0.31,0.58,0.58,0.5,0.5,0.56,0.51,0.55,,,2026
Daejeon Citizen vs Jeonbuk Motors,2026-03-21 05:00:00,Jeonbuk Motors won after full-time.,K League 1,Daejeon Citizen,Jeonbuk Motors,0.0,1.0,3,6,2.0,6.0,4.0,4.0,9.0,12.0,145.0,90.0,72.0,55.0,63.0,37.0,,,7.0,9.0,2.0,3.0,1.0,0.0,8.0,9.0,5.0,10.0,11.0,14.0,6.0,3.0,2.0,3.0,2.67,3.44,2.72,2.1,1.78,,,,,2.07,1.83,2.55,3.2,2.55,2.0,1.72,,,,,2.0,1.8,0.37,0.29,0.37,0.56,0.48,,,,,0.48,0.55,0.39,0.31,0.39,0.5,0.58,,,,,0.5,0.56,2026
Ulsan HD vs Gimcheon Sangmu,2026-03-22 05:00:00,Game ended in draw.,K League 1,Ulsan HD,Gimcheon Sangmu,,,1,8,4.0,2.0,10.0,5.0,19.0,10.0,109.0,126.0,71.0,62.0,37.0,63.0,,,13.0,7.0,6.0,3.0,2.0,0.0,5.0,11.0,15.0,4.0,9.0,19.0,1.0,4.0,0.0,4.0,2.27,3.5,3.26,2.15,1.75,,,,,1.99,1.89,2.15,3.25,3.1,2.0,1.72,,,,,1.92,1.87,0.44,0.29,0.31,0.57,0.47,,,,,0.5,0.53,0.47,0.31,0.32,0.5,0.58,,,,,0.52,0.53,2026
Seoul vs Gwangju,2026-03-22 05:00:00,Seoul won after full-time.,K League 1,Seoul,Gwangju,5.0,0.0,2,5,2.0,3.0,4.0,3.0,12.0,8.0,98.0,86.0,52.0,40.0,52.0,48.0,,,9.0,3.0,3.0,5.0,0.0,1.0,4.0,5.0,11.0,4.0,10.0,13.0,1.0,1.0,1.0,3.0,1.44,4.52,8.01,1.68,2.25,,,1.83,2.07,1.99,1.9,1.4,4.1,7.5,1.66,2.1,,,2.0,1.8,1.97,1.82,0.69,0.22,0.12,0.44,0.6,,,0.55,0.48,0.5,0.53,0.71,0.24,0.13,0.6,0.48,,,0.5,0.56,0.51,0.55,2026
Pohang Steelers vs Bucheon 1995,2026-03-22 07:30:00,Game ended in draw.,K League 1,Pohang Steelers,Bucheon 1995,,,9,8,7.0,4.0,5.0,9.0,11.0,13.0,109.0,107.0,28.0,51.0,50.0,50.0,,,9.0,11.0,2.0,2.0,2.0,2.0,12.0,4.0,4.0,12.0,10.0,9.0,2.0,0.0,2.0,1.0,2.23,3.15,3.75,1.63,2.35,1.99,1.9,2.03,1.86,,,2.15,2.87,3.5,1.8,1.9,,,2.0,1.8,,,0.45,0.32,0.27,0.43,0.61,0.5,0.53,0.49,0.54,,,0.47,0.35,0.29,0.56,0.53,,,0.5,0.56,,,2026
Gangwon vs Jeju United,2026-03-22 07:30:00,Game ended in draw.,K League 1,Gangwon,Jeju United,1.0,1.0,10,12,11.0,3.0,8.0,1.0,16.0,6.0,146.0,51.0,121.0,30.0,73.0,27.0,1.0,0.0,10.0,4.0,6.0,2.0,3.0,0.0,3.0,15.0,9.0,2.0,3.0,15.0,1.0,4.0,2.0,1.0,1.69,3.57,5.99,1.69,2.23,,,2.09,1.81,,,1.65,3.3,5.5,1.8,1.9,,,2.02,1.77,,,0.59,0.28,0.17,0.45,0.59,,,0.48,0.55,,,0.61,0.3,0.18,0.56,0.53,,,0.5,0.56,,,2026
Anyang vs Incheon United,2026-03-22 07:30:00,Incheon United won after full-time.,K League 1,Anyang,Incheon United,0.0,1.0,7,11,2.0,7.0,4.0,5.0,6.0,12.0,75.0,106.0,20.0,35.0,30.0,70.0,,,3.0,10.0,3.0,2.0,2.0,1.0,6.0,5.0,5.0,6.0,15.0,5.0,2.0,1.0,4.0,2.0,2.78,3.22,2.76,1.78,2.1,1.84,2.06,2.11,1.8,,,2.62,2.9,2.62,1.72,2.0,1.8,2.0,1.82,1.97,,,0.36,0.31,0.36,0.48,0.56,0.54,0.49,0.47,0.56,,,0.38,0.34,0.38,0.58,0.5,0.56,0.5,0.55,0.51,,,2026
Pohang Steelers vs Gangwon,2026-03-28 06:00:00,Pohang Steelers won after full-time.,K League 1,Pohang Steelers,Gangwon,1.0,0.0,10,11,8.0,7.0,3.0,3.0,14.0,6.0,97.0,101.0,78.0,74.0,56.0,44.0,,,11.0,4.0,3.0,2.0,2.0,5.0,8.0,5.0,7.0,3.0,8.0,17.0,1.0,5.0,1.0,2.0,3.42,3.01,2.45,1.72,2.16,1.84,2.05,2.06,1.76,,,3.0,3.0,2.37,1.66,2.1,1.82,1.97,,,,,0.29,0.33,0.41,0.46,0.58,0.54,0.49,0.49,0.57,,,0.33,0.33,0.42,0.6,0.48,0.55,0.51,,,,,2026
Jeonbuk Motors vs Ulsan HD,2026-04-04 05:00:00,Jeonbuk Motors won after full-time.,K League 1,Jeonbuk Motors,Ulsan HD,2.0,0.0,3,2,3.0,5.0,5.0,8.0,12.0,14.0,116.0,95.0,61.0,77.0,53.0,47.0,,,9.0,8.0,3.0,6.0,1.0,0.0,12.0,12.0,8.0,9.0,12.0,10.0,3.0,1.0,2.0,3.0,2.29,3.32,3.38,,,,,,,2.07,1.83,2.2,3.25,3.25,2.0,1.72,,,,,2.0,1.8,0.44,0.3,0.3,,,,,,,0.48,0.55,0.45,0.31,0.31,0.5,0.58,,,,,0.5,0.56,2026
